time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BinaryProtocol:bytesReadPerSecond,BinaryProtocol:bytesWrittenPerSecond,BinaryProtocol:messagesReadPerSecond,BinaryProtocol:messagesWrittenPerSecond,BinaryProtocol:nAckMessages,BinaryProtocol:nBytesRead,BinaryProtocol:nBytesWritten,BinaryProtocol:nEntriesOldVersion,BinaryProtocol:nGroupAckMessages,BinaryProtocol:nGroupedAcks,BinaryProtocol:nMaxGroupedAcks,BinaryProtocol:nMaxWriteNanos,BinaryProtocol:nMessageBatches,BinaryProtocol:nMessagesBatched,BinaryProtocol:nMessagesRead,BinaryProtocol:nMessagesWritten,BinaryProtocol:nReadNanos,BinaryProtocol:nWriteNanos,BinaryProtocol:write95Ms,BinaryProtocol:write99Ms,BinaryProtocol:writeAvgBytes,BinaryProtocol:writeAvgNanos,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:adminBytes,Cache:cacheTotalBytes,Cache:cacheUtilization,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,ConsistencyTracker:nLagConsistencyWaitMS,ConsistencyTracker:nLagConsistencyWaits,ConsistencyTracker:nVLSNConsistencyWaitMS,ConsistencyTracker:nVLSNConsistencyWaits,ConsistencyTracker:replicaLocalVLSNLag,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,FeederManager:nFeedersCreated,FeederManager:nFeedersShutdown,FeederManager:nTxnAuthFailed,FeederManager:nTxnAuthNoWait,FeederManager:nTxnAuthSucceed,FeederManager:nTxnAuthWaited,FeederManager:replica95DelayMsMap,FeederManager:replica99DelayMsMap,FeederManager:replicaAvgAckLatencyNsMap,FeederManager:replicaAvgDelayMsMap,FeederManager:replicaDelayMap,FeederManager:replicaLastCommitTimestampMap,FeederManager:replicaLastCommitVLSNMap,FeederManager:replicaMaxDelayMsMap,FeederManager:replicaVLSNLagMap,FeederManager:replicaVLSNRateMap,FeederManager:txnAuthAvgWait,FeederTxns:ackTxnAvgNs,FeederTxns:lastCommitTimestamp,FeederTxns:lastCommitVLSN,FeederTxns:localTxnAvgNs,FeederTxns:txnsAcked,FeederTxns:txnsNotAcked,FeederTxns:vlsnRate,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nAppReadBytes,I/O:nAppReads,I/O:nAppWriteBytes,I/O:nAppWrites,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nCheckpointerReadBytes,I/O:nCheckpointerReads,I/O:nCheckpointerWriteBytes,I/O:nCheckpointerWrites,I/O:nCleanerReadBytes,I/O:nCleanerReads,I/O:nCleanerWriteBytes,I/O:nCleanerWrites,I/O:nCompressorReadBytes,I/O:nCompressorReads,I/O:nCompressorWriteBytes,I/O:nCompressorWrites,I/O:nEvictorReadBytes,I/O:nEvictorReads,I/O:nEvictorWriteBytes,I/O:nEvictorWrites,I/O:nExtinctionReadBytes,I/O:nExtinctionReads,I/O:nExtinctionWriteBytes,I/O:nExtinctionWrites,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFeederReadBytes,I/O:nFeederReads,I/O:nFeederWriteBytes,I/O:nFeederWrites,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nItemBufferPoolFull,I/O:nItemBufferTooSmall,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nMiscReadBytes,I/O:nMiscReads,I/O:nMiscWriteBytes,I/O:nMiscWrites,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nReplayReadBytes,I/O:nReplayReads,I/O:nReplayWriteBytes,I/O:nReplayWrites,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,OffHeap:offHeapUtilization,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,Replay:latestCommitLagMs,Replay:nAborts,Replay:nCommitAcks,Replay:nCommitNoSyncs,Replay:nCommitSyncs,Replay:nCommitWriteNoSyncs,Replay:nCommits,Replay:nGroupCommitMaxExceeded,Replay:nGroupCommitTimeouts,Replay:nGroupCommitTxns,Replay:nGroupCommits,Replay:nLNs,Replay:nNameLNs,Replay:nNotPreprocessed,Replay:nPreprocessMiss,Replay:nReplayQueueAvgSize,Replay:nReplayQueueOverflows,Replay:outputQueue95DelayMs,Replay:outputQueue99DelayMs,Replay:outputQueueAvgDelayNs,Replay:outputQueueMaxDelayNs,Replay:replayQueue95DelayMs,Replay:replayQueue99DelayMs,Replay:replayQueueAvgDelayNs,Replay:replayQueueMaxDelayNs,Replay:txn95Ms,Replay:txn99Ms,Replay:txnAvgNs,Replay:txnMaxNs,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits,VLSNIndex:nBucketsCreated,VLSNIndex:nHeadBucketsDeleted,VLSNIndex:nHits,VLSNIndex:nMisses,VLSNIndex:nTailBucketsDeleted
2021-05-22 11:07:46.434 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,65128320,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:08:46.446 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , ,1,7,40221632,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:09:46.454 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,48181224,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:10:46.470 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,57189264,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:11:46.480 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,64671000,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:12:46.494 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , ,1,5,41916416,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:13:46.504 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,49321104,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:14:46.512 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,56866976,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:15:46.524 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,65112512,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:16:46.549 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , ,1,8,41127736,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:17:46.562 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,48855528,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:18:46.571 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,56540712,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:19:46.590 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,7,7,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,64545288,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:20:46.606 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , ,1,16,40826144,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:21:46.619 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,48351416,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:22:46.630 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,55945336,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:23:46.649 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,6,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,63553816,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:24:46.665 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,71508592,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:25:46.670 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,20,20,20,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , ,1,60,47506512,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-22 11:26:46.680 UTC, , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,589,11377630,6,113000,1680, ,18, ,50, , , , , , , , , ,18,18, , , ,2,14,20, ,10,10, , , , , , , , , , , , , ,84192,8,83139,83139, , , , ,106196,1073635628,23,23,23,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106196, , , , , ,1621681186079,,, , , , , , , , , , , , ,20,20, , , , , , , , , , , , , ,1621681251744,597, , , , ,11262352,106159,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,1, , , , , ,10,1, , , , , , , , , , , , , , , , , , , , , , , ,54814384,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
